Warning: truncated output (original token count: 71650)
Total output lines: 201

﻿Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект дома №37-33: видеообзор,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/37-33.mp4,Проекты частных домов,00:01,"Проект дома №37-33. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 213,1 м²; 2 этажа; габариты 14.7×15 м; материал — кирпич; стиль — европейский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/37-33?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7912_37-33_burgundy_atelier&utm_term=proekty-chastnyh-domov,,"проект дома 37-33, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 213,1 м², кирпич, европейский"
Дом №68-26: планы и фасады,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/68-26.mp4,Готовые проекты домов,00:01,"Проект дома №68-26. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 160,6 м²; 1 этаж; габариты 12.6×17.2 м; материал — газобетон. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/68-26?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7913_68-26_ivory_floor_plans&utm_term=gotovye-proekty-domov,,"проект дома 68-26, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 160,6 м², газобетон"
Проект №38-74: архитектура крупным планом,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/38-74.mp4,Планировки загородных домов,00:01,"Проект дома №38-74. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 205,32 м²; 2 этажа; габариты 14.64×17.19 м; материал — кирпич; стиль — шале. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/38-74?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7914_38-74_brass_facades&utm_term=planirovki-zagorodnyh-domov,,"проект дома 38-74, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 205,32 м², кирпич, шале"
Дом №71-19: готовая планировка в видео,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/71-19.mp4,Красивые фасады домов,00:01,"Проект дома №71-19. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 151,2 м²; 2 этажа; габариты 11.81×14.06 м; материал — деревянный каркас; стиль — современный. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/71-19?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7915_71-19_premium_architecture&utm_term=krasivye-fasady-domov,,"проект дома 71-19, Красивые фасады домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 151,2 м², деревянный каркас, современный"
Проект дома №32-68: четыре фасада,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/32-68.mp4,Архитектура частного дома,00:01,"Проект дома №32-68. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 161,8 м²; 2 этажа; габариты 7.8×11.7 м; материал — кирпич; стиль — европейский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/32-68?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7916_32-68_burgundy_atelier&utm_term=arhitektura-chastnogo-doma,,"проект дома 32-68, Архитектура частного дома, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 161,8 м², кирпич, европейский"
Дом №60-41: короткий обзор проекта,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/60-41.mp4,Дома с планами и фасадами,00:01,"Проект дома №60-41. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 168,4 м²; 2 этажа; габариты 11.7×12 м; материал — кирпич; стиль — европейский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/60-41?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7917_60-41_ivory_floor_plans&utm_term=doma-s-planami-i-fasadami,,"проект дома 60-41, Дома с планами и фасадами, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 168,4 м², кирпич, европейский"
Проект дома №66-21: видеообзор,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/66-21.mp4,Двухэтажные проекты домов,00:01,"Проект дома №66-21. Ролик показывает визуализацию, реальную планировку и чертежи фасадов. Планы этажей помогают оценить расположение комнат и общую логику дома. Параметры проекта: площадь 136,4 м²; 2 этажа; габариты 9.85×13.385 м; материал — газобетон; стиль — европейский. Перейдите к карточке дома и оцените характеристики выбранного проекта.",https://catalog-plans.ru/catalog/66-21?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7918_66-21_brass_facades&utm_term=dvuhetazhnye-proekty-domov,,"проект дома 66-21, Двухэтажные проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 136,4 м², газобетон, европейский"
Дом №68-48: планы и фасады,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/68-48.mp4,Проекты частных домов,00:01,"Проект дома №68-48. Новый формат объединяет главные материалы карточки проекта в одном видео. Четыре фасада дают представление об архитектуре со всех сторон. Параметры проекта: площадь 136,27 м²; 2 этажа; габариты 8.1×11.4 м; материал — газобетон; стиль — хай-тек. Сохраните вариант и сравните его с другими проектами из каталога.",https://catalog-plans.ru/catalog/68-48?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7919_68-48_premium_architecture&utm_term=proekty-chastnyh-domov,,"проект дома 68-48, Проекты частных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 136,27 м², газобетон, хай-тек"
Проект №32-43: архитектура крупным планом,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/32-43.mp4,Готовые проекты домов,00:01,"Проект дома №32-43. В коротком видео собраны внешний вид дома, его планы и фасады. Проект случайным образом выбран из полного каталога catalog-plans.ru. Параметры проекта: площадь 115,1 м²; 2 этажа; габариты 9.3×10.3 м; материал — кирпич; стиль — скандинавский. Откройте проект, чтобы подробно рассмотреть помещения, размеры и фасады.",https://catalog-plans.ru/catalog/32-43?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7920_32-43_burgundy_atelier&utm_term=gotovye-proekty-domov,,"проект дома 32-43, Готовые проекты домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 115,1 м², кирпич, скандинавский"
Дом №64-98: готовая планировка в видео,https://raw.githubusercontent.com/nemchenik/test/75b101380983e3279778e7998b552999550e0250/pinterest/generated_batch_43_burgundy_atelier_video/64-98.mp4,Планировки загородных домов,00:01,"Проект дома №64-98. Архитектурный обзор помогает быстро оценить проект со всех сторон. Все изображения получены непосредственно из карточки соответствующего проекта. Параметры проекта: площадь 141,55 м²; 2 этажа; габариты 10.05×12.2 м; материал — газобетон; стиль — скандинавский. На сайте доступны все планы, характеристики и состав проектной документации.",https://catalog-plans.ru/catalog/64-98?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_burgundy_atelier_video_batch_43&utm_content=pin_7921_64-98_ivory_floor_plans&utm_term=planirovki-zagorodnyh-domov,,"проект дома 64-98, Планировки загородных домов, готовый проект дома, планировка дома, архитектура дома, фасады частного дома, поэтажные планы, фасады дома, catalog-plans.ru, дом 141,55 м², газобетон, скандинавский"
