Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №40-11QA2L площадью 295,76 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/40-11QA2L.jpg,Проекты частных домов,,"Готовый проект дома №40-11QA2L площадью 295,76 м²: 3 этажа, габариты 13.54×17.18 м, материал стен — газобетон. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-11QA2L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9312_40-11QA2L_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 40-11QA2L, проект дома 295,76 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №47-21 площадью 114,8 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/47-21.jpg,Проекты частных домов,,"Готовый проект дома №47-21 площадью 114,8 м²: 2 этажа, габариты 7.5×9 м, материал стен — газобетон. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/47-21?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9313_47-21_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 47-21, проект дома 114,8 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №40-45HG2L площадью 479,58 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/40-45HG2L.jpg,Проекты частных домов,,"Готовый проект дома №40-45HG2L площадью 479,58 м²: 2 этажа, габариты 20.8×19.5 м, материал стен — газобетон. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-45HG2L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9314_40-45HG2L_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 40-45HG2L, проект дома 479,58 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №57-52L площадью 171,05 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/57-52L.jpg,Проекты частных домов,,"Готовый проект дома №57-52L площадью 171,05 м²: 2 этажа, габариты 11.16×14.36 м, материал стен — газобетон. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-52L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9315_57-52L_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 57-52L, проект дома 171,05 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, газобетон, catalog-plans.ru"
Проект дома №31-27 площадью 755 м²,https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/31-27.jpg,Проекты частных домов,,"Готовый проект дома №31-27 площадью 755 м²: 3 этажа, габариты 16.7×41.8 м, материал стен — кирпич. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/31-27?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9316_31-27_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 31-27, проект дома 755 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, кирпич, catalog-plans.ru"
"Проект дома №36-37 площадью 551,3 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/36-37.jpg,Проекты частных домов,,"Готовый проект дома №36-37 площадью 551,3 м²: 3 этажа, габариты 23.7×31.8 м, материал стен — кирпич. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/36-37?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9317_36-37_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 36-37, проект дома 551,3 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, кирпич, catalog-plans.ru"
"Проект дома №45-09DGL площадью 174,47 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/45-09DGL.jpg,Проекты частных домов,,"Готовый проект дома №45-09DGL площадью 174,47 м²: 2 этажа, габариты 11.89×13.6 м, материал стен — газобетон. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-09DGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9318_45-09DGL_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 45-09DGL, проект дома 174,47 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №58-28DKL площадью 165,79 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/58-28DKL.jpg,Проекты частных домов,,"Готовый проект дома №58-28DKL площадью 165,79 м²: 2 этажа, габариты 10.88×13.08 м, материал стен — кирпич. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-28DKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9319_58-28DKL_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 58-28DKL, проект дома 165,79 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, кирпич, catalog-plans.ru"
"Проект дома №62-50AMK3L площадью 266,13 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/62-50AMK3L.jpg,Проекты частных домов,,"Готовый проект дома №62-50AMK3L площадью 266,13 м²: 2 этажа, габариты 14.52×14.82 м, материал стен — монолитный каркас. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/62-50AMK3L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9320_62-50AMK3L_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 62-50AMK3L, проект дома 266,13 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, монолитный каркас, catalog-plans.ru"
"Проект дома №59-98TAGL площадью 177,63 м²",https://raw.githubusercontent.com/nemchenik/test/71aeafab72585981d8bac0d254113fba50d6af68/pinterest/generated_batch_50_arctic_frost_static/59-98TAGL.jpg,Проекты частных домов,,"Готовый проект дома №59-98TAGL площадью 177,63 м²: 2 этажа, габариты 10.34×12.04 м, материал стен — газобетон. На карточке показана архитектурная визуализация и основные характеристики. Сохраните проект для вдохновения и откройте каталог, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-98TAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_arctic_frost_static_batch_50&utm_content=pin_9321_59-98TAGL_arctic&utm_term=proekty-chastnyh-domov,,"проект дома 59-98TAGL, проект дома 177,63 м², готовый проект дома, архитектурная визуализация, характеристики дома, частный дом, газобетон, catalog-plans.ru"
