Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №48-29MAGL площадью 357,59 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/48-29MAGL.jpg,Проекты частных домов,,"Готовый проект дома №48-29MAGL площадью 357,59 м²: 2 этажа, габариты 13.89×24.14 м, материал стен — газобетон. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-29MAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9512_48-29MAGL_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 48-29MAGL, проект дома 357,59 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №63-12 площадью 180,86 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/63-12.jpg,Проекты частных домов,,"Готовый проект дома №63-12 площадью 180,86 м²: 2 этажа, габариты 11.1×11.1 м, материал стен — газобетон. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/63-12?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9513_63-12_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 63-12, проект дома 180,86 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №58-15K площадью 139,25 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/58-15K.jpg,Проекты частных домов,,"Готовый проект дома №58-15K площадью 139,25 м²: 2 этажа, габариты 10.3×11 м, материал стен — кирпич. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-15K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9514_58-15K_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 58-15K, проект дома 139,25 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, кирпич, catalog-plans.ru"
"Проект дома №58-70AF площадью 213,15 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/58-70AF.jpg,Проекты частных домов,,"Готовый проект дома №58-70AF площадью 213,15 м²: 2 этажа, габариты 12×16 м, материал стен — газобетон. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-70AF?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9515_58-70AF_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 58-70AF, проект дома 213,15 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №36-36 площадью 437,8 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/36-36.jpg,Проекты частных домов,,"Готовый проект дома №36-36 площадью 437,8 м²: 2 этажа, габариты 17.34×29.94 м, материал стен — кирпич. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/36-36?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9516_36-36_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 36-36, проект дома 437,8 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, кирпич, catalog-plans.ru"
"Проект дома №45-57FL площадью 367,18 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/45-57FL.jpg,Проекты частных домов,,"Готовый проект дома №45-57FL площадью 367,18 м²: 2 этажа, габариты 13.33×21.5 м, материал стен — кирпич. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-57FL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9517_45-57FL_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 45-57FL, проект дома 367,18 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, кирпич, catalog-plans.ru"
Проект дома №40-48G площадью 238 м²,https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/40-48G.jpg,Проекты частных домов,,"Готовый проект дома №40-48G площадью 238 м²: 2 этажа, габариты 13.45×15.71 м, материал стен — газобетон. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-48G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9518_40-48G_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 40-48G, проект дома 238 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №57-12B площадью 165,05 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/57-12B.jpg,Проекты частных домов,,"Готовый проект дома №57-12B площадью 165,05 м²: 2 этажа, габариты 10.77×11.8 м, материал стен — газобетон. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-12B?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9519_57-12B_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 57-12B, проект дома 165,05 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, газобетон, catalog-plans.ru"
"Проект дома №13-00A площадью 155,11 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/13-00A.jpg,Проекты частных домов,,"Готовый проект дома №13-00A площадью 155,11 м²: 2 этажа, габариты 9.72×10.62 м, материал стен — дерево. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/13-00A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9520_13-00A_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 13-00A, проект дома 155,11 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, дерево, catalog-plans.ru"
"Проект дома №57-77AK площадью 277,95 м²",https://raw.githubusercontent.com/nemchenik/test/e701def0cc9a46ab4b2f865eb3c56ffecfe50974/pinterest/generated_batch_51_chromatic_random_static/57-77AK.jpg,Проекты частных домов,,"Готовый проект дома №57-77AK площадью 277,95 м²: 2 этажа, габариты 15.8×15.85 м, материал стен — кирпич. Архитектурная визуализация и ключевые характеристики собраны на одной карточке. Сохраните проект и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-77AK?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_chromatic_random_static_batch_51&utm_content=pin_9521_57-77AK_chromatic&utm_term=proekty-chastnyh-domov,,"проект дома 57-77AK, проект дома 277,95 м², готовый проект дома, визуализация дома, характеристики дома, частный дом, кирпич, catalog-plans.ru"
