Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №62-79 площадью 28,09 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/62-79.jpg,Проекты частных домов,,"Готовый проект дома №62-79: площадь 28,09 м², 1 этаж, габариты 4.8×8.5 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/62-79?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9712_62-79_urban&utm_term=proekty-chastnyh-domov,,"проект дома 62-79, проект дома 28,09 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
"Проект дома №57-30K площадью 191,95 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/57-30K.jpg,Проекты частных домов,,"Готовый проект дома №57-30K: площадь 191,95 м², 2 этажа, габариты 12.18×12.83 м, материал стен — кирпич. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-30K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9713_57-30K_urban&utm_term=proekty-chastnyh-domov,,"проект дома 57-30K, проект дома 191,95 м², готовый проект дома, современный дом, характеристики дома, кирпич, catalog-plans.ru"
"Проект дома №51-75 площадью 234,5 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/51-75.jpg,Проекты частных домов,,"Готовый проект дома №51-75: площадь 234,5 м², 2 этажа, габариты 10.3×13.1 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/51-75?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9714_51-75_urban&utm_term=proekty-chastnyh-domov,,"проект дома 51-75, проект дома 234,5 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
"Проект дома №48-49 площадью 151,58 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/48-49.jpg,Проекты частных домов,,"Готовый проект дома №48-49: площадь 151,58 м², 2 этажа, габариты 10.5×10.5 м, материал стен — кирпич. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-49?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9715_48-49_urban&utm_term=proekty-chastnyh-domov,,"проект дома 48-49, проект дома 151,58 м², готовый проект дома, современный дом, характеристики дома, кирпич, catalog-plans.ru"
"Проект дома №59-95D площадью 310,36 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/59-95D.jpg,Проекты частных домов,,"Готовый проект дома №59-95D: площадь 310,36 м², 2 этажа, габариты 12.76×14.26 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-95D?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9716_59-95D_urban&utm_term=proekty-chastnyh-domov,,"проект дома 59-95D, проект дома 310,36 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
"Проект дома №51-23 площадью 278,5 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/51-23.jpg,Проекты частных домов,,"Готовый проект дома №51-23: площадь 278,5 м², 2 этажа, габариты 14.6×17.2 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/51-23?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9717_51-23_urban&utm_term=proekty-chastnyh-domov,,"проект дома 51-23, проект дома 278,5 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
"Проект дома №57-05CEDRAL площадью 155,31 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/57-05CEDRAL.jpg,Проекты частных домов,,"Готовый проект дома №57-05CEDRAL: площадь 155,31 м², 2 этажа, габариты 10.5×10.5 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-05CEDRAL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9718_57-05CEDRAL_urban&utm_term=proekty-chastnyh-domov,,"проект дома 57-05CEDRAL, проект дома 155,31 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
"Проект дома №37-62 площадью 792,4 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/37-62.jpg,Проекты частных домов,,"Готовый проект дома №37-62: площадь 792,4 м², 3 этажа, габариты 18.52×34.95 м, материал стен — кирпич. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/37-62?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9719_37-62_urban&utm_term=proekty-chastnyh-domov,,"проект дома 37-62, проект дома 792,4 м², готовый проект дома, современный дом, характеристики дома, кирпич, catalog-plans.ru"
"Проект дома №48-22G площадью 165,74 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/48-22G.jpg,Проекты частных домов,,"Готовый проект дома №48-22G: площадь 165,74 м², 2 этажа, габариты 10.98×14.68 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-22G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9720_48-22G_urban&utm_term=proekty-chastnyh-domov,,"проект дома 48-22G, проект дома 165,74 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
"Проект дома №33-46 площадью 323,1 м²",https://raw.githubusercontent.com/nemchenik/test/0c82b80184f63cad119f11b1b3c47cdee4a0b59d/pinterest/generated_batch_52_urban_spectrum_static/33-46.jpg,Проекты частных домов,,"Готовый проект дома №33-46: площадь 323,1 м², 2 этажа, габариты 13.2×17.58 м, материал стен — газобетон. Сохраните архитектурную визуализацию и откройте каталог, чтобы посмотреть подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/33-46?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_urban_spectrum_static_batch_52&utm_content=pin_9721_33-46_urban&utm_term=proekty-chastnyh-domov,,"проект дома 33-46, проект дома 323,1 м², готовый проект дома, современный дом, характеристики дома, газобетон, catalog-plans.ru"
