Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №46-22AGLW площадью 121,7 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/46-22AGLW.jpg,Проекты частных домов,,"Проект дома №46-22AGLW: площадь 121,7 м², 1 этаж, габариты 11.52×14.02 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-22AGLW?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10112_46-22AGLW_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-22AGLW, проект дома 121,7 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №57-66K площадью 273,85 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/57-66K.jpg,Проекты частных домов,,"Проект дома №57-66K: площадь 273,85 м², 2 этажа, габариты 10.78×12.5 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-66K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10113_57-66K_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-66K, проект дома 273,85 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №62-39D площадью 161,66 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/62-39D.jpg,Проекты частных домов,,"Проект дома №62-39D: площадь 161,66 м², 1 этаж, габариты 14.05×15.1 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/62-39D?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10114_62-39D_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 62-39D, проект дома 161,66 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №46-08AHKL площадью 420,12 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/46-08AHKL.jpg,Проекты частных домов,,"Проект дома №46-08AHKL: площадь 420,12 м², 2 этажа, габариты 14.67×17.2 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-08AHKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10115_46-08AHKL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-08AHKL, проект дома 420,12 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №58-31L площадью 208,73 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/58-31L.jpg,Проекты частных домов,,"Проект дома №58-31L: площадь 208,73 м², 2 этажа, габариты 13.86×13.86 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-31L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10116_58-31L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-31L, проект дома 208,73 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №68-89 площадью 135,24 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/68-89.jpg,Проекты частных домов,,"Проект дома №68-89: площадь 135,24 м², 1 этаж, габариты 11.4×17.62 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/68-89?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10117_68-89_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 68-89, проект дома 135,24 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №48-24DEAGL площадью 336,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/48-24DEAGL.jpg,Проекты частных домов,,"Проект дома №48-24DEAGL: площадь 336,8 м², 2 этажа, габариты 15.74×21.02 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-24DEAGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10118_48-24DEAGL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-24DEAGL, проект дома 336,8 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №31-75 площадью 590,9 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/31-75.jpg,Проекты частных домов,,"Проект дома №31-75: площадь 590,9 м², 3 этажа, габариты 11.22×13.31 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/31-75?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10119_31-75_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 31-75, проект дома 590,9 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №36-17 площадью 394,7 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/36-17.jpg,Проекты частных домов,,"Проект дома №36-17: площадь 394,7 м², 2 этажа, габариты 13.64×14.4 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/36-17?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10120_36-17_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 36-17, проект дома 394,7 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №50-20 площадью 194,2 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/50-20.jpg,Проекты частных домов,,"Проект дома №50-20: площадь 194,2 м², 2 этажа, габариты 9.4×16.7 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/50-20?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10121_50-20_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 50-20, проект дома 194,2 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №46-08NK1L площадью 327,45 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/46-08NK1L.jpg,Проекты частных домов,,"Проект дома №46-08NK1L: площадь 327,45 м², 2 этажа, габариты 14.16×21.96 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-08NK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10122_46-08NK1L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-08NK1L, проект дома 327,45 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №57-07HA площадью 102,84 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/57-07HA.jpg,Проекты частных домов,,"Проект дома №57-07HA: площадь 102,84 м², 2 этажа, габариты 8×10 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-07HA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10123_57-07HA_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-07HA, проект дома 102,84 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
Проект дома №75-14 площадью 155 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/75-14.jpg,Проекты частных домов,,"Проект дома №75-14: площадь 155 м², 2 этажа, габариты 9.7×14.5 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/75-14?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10124_75-14_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 75-14, проект дома 155 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №31-63 площадью 274,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/31-63.jpg,Проекты частных домов,,"Проект дома №31-63: площадь 274,8 м², 2 этажа, габариты 14×16.45 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/31-63?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10125_31-63_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 31-63, проект дома 274,8 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №48-29KL1 площадью 300,78 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/48-29KL1.jpg,Проекты частных домов,,"Проект дома №48-29KL1: площадь 300,78 м², 2 этажа, габариты 13.76×25 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-29KL1?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10126_48-29KL1_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-29KL1, проект дома 300,78 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №46-40L площадью 121,18 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/46-40L.jpg,Проекты частных домов,,"Проект дома №46-40L: площадь 121,18 м², 1 этаж, габариты 12.08×16.37 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-40L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10127_46-40L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-40L, проект дома 121,18 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №46-26L площадью 290,16 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_54_visual_plans_editorial_static/46-26L.jpg,Проекты частных домов,,"Проект дома №46-26L: площадь 290,16 м², 2 этажа, габариты 12.52×22.67 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-26L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_editorial_static_batch_54&utm_content=pin_10128_46-26L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-26L, проект дома 290,16 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
