Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №71-10 площадью 251,18 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/71-10.jpg,Проекты частных домов,,"Проект дома №71-10: площадь 251,18 м², 2 этажа, габариты 11.9×14 м, материал стен — дерево. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/71-10?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10312_71-10_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 71-10, проект дома 251,18 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, дерево, catalog-plans.ru"
"Проект дома №45-76L площадью 189,9 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/45-76L.jpg,Проекты частных домов,,"Проект дома №45-76L: площадь 189,9 м², 2 этажа, габариты 10.88×16.32 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-76L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10313_45-76L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-76L, проект дома 189,9 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №59-97DL площадью 163,07 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/59-97DL.jpg,Проекты частных домов,,"Проект дома №59-97DL: площадь 163,07 м², 2 этажа, габариты 10.7×14.2 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-97DL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10314_59-97DL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 59-97DL, проект дома 163,07 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №57-07H площадью 117,21 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/57-07H.jpg,Проекты частных домов,,"Проект дома №57-07H: площадь 117,21 м², 2 этажа, габариты 8.45×10.85 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-07H?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10315_57-07H_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-07H, проект дома 117,21 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №59-24B площадью 191,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/59-24B.jpg,Проекты частных домов,,"Проект дома №59-24B: площадь 191,8 м², 2 этажа, габариты 13.26×13.6 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-24B?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10316_59-24B_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 59-24B, проект дома 191,8 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №63-52AL площадью 341,85 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/63-52AL.jpg,Проекты частных домов,,"Проект дома №63-52AL: площадь 341,85 м², 2 этажа, габариты 16.9×20 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/63-52AL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10317_63-52AL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 63-52AL, проект дома 341,85 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №58-70QA площадью 116,75 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/58-70QA.jpg,Проекты частных домов,,"Проект дома №58-70QA: площадь 116,75 м², 1 этаж, габариты 11.9×13.9 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-70QA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10318_58-70QA_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-70QA, проект дома 116,75 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №63-45AB площадью 228,07 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/63-45AB.jpg,Проекты частных домов,,"Проект дома №63-45AB: площадь 228,07 м², 3 этажа, габариты 10.1×18.1 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/63-45AB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10319_63-45AB_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 63-45AB, проект дома 228,07 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №52-16 площадью 303,7 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/52-16.jpg,Проекты частных домов,,"Проект дома №52-16: площадь 303,7 м², 2 этажа, габариты 12.1×15 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/52-16?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10320_52-16_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 52-16, проект дома 303,7 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №52-67 площадью 150,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/52-67.jpg,Проекты частных домов,,"Проект дома №52-67: площадь 150,8 м², 1 этаж, габариты 14.8×17 м, материал стен — ячеистые бетонные блоки. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/52-67?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10321_52-67_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 52-67, проект дома 150,8 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, ячеистые бетонные блоки, catalog-plans.ru"
"Проект дома №46-23AG площадью 242,11 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/46-23AG.jpg,Проекты частных домов,,"Проект дома №46-23AG: площадь 242,11 м², 2 этажа, габариты 13.45×19.7 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-23AG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10322_46-23AG_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-23AG, проект дома 242,11 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №47-87 площадью 190,3 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_55_visual_plans_blueprint_static/47-87.jpg,Проекты частных домов,,"Проект дома №47-87: площадь 190,3 м², 2 этажа, габариты 8.7×19.5 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/47-87?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_blueprint_static_batch_55&utm_content=pin_10323_47-87_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 47-87, проект дома 190,3 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
