Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №45-01AX площадью 241,84 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/45-01AX.jpg,Проекты частных домов,,"Проект дома №45-01AX: площадь 241,84 м², 2 этажа, габариты 12.22×12.38 м, материал стен — блоки из ракушечника 380. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-01AX?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10512_45-01AX_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-01AX, проект дома 241,84 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, блоки из ракушечника 380, catalog-plans.ru"
"Проект дома №57-90L площадью 203,24 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/57-90L.jpg,Проекты частных домов,,"Проект дома №57-90L: площадь 203,24 м², 2 этажа, габариты 14.66×14.9 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-90L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10513_57-90L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-90L, проект дома 203,24 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №46-01AG площадью 184,03 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/46-01AG.jpg,Проекты частных домов,,"Проект дома №46-01AG: площадь 184,03 м², 2 этажа, габариты 13.38×15.64 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-01AG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10514_46-01AG_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-01AG, проект дома 184,03 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №45-64NAKL площадью 242,88 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/45-64NAKL.jpg,Проекты частных домов,,"Проект дома №45-64NAKL: площадь 242,88 м², 2 этажа, габариты 12.74×14.24 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-64NAKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10515_45-64NAKL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-64NAKL, проект дома 242,88 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №59-13 площадью 128,09 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/59-13.jpg,Проекты частных домов,,"Проект дома №59-13: площадь 128,09 м², 2 этажа, габариты 13.06×14.06 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-13?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10516_59-13_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 59-13, проект дома 128,09 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №40-47BGL площадью 129,73 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/40-47BGL.jpg,Проекты частных домов,,"Проект дома №40-47BGL: площадь 129,73 м², 2 этажа, габариты 10.2×10.88 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-47BGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10517_40-47BGL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 40-47BGL, проект дома 129,73 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №50-65 площадью 176,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/50-65.jpg,Проекты частных домов,,"Проект дома №50-65: площадь 176,8 м², 2 этажа, габариты 12.98×15.8 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/50-65?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10518_50-65_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 50-65, проект дома 176,8 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №33-83 площадью 208,95 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/33-83.jpg,Проекты частных домов,,"Проект дома №33-83: площадь 208,95 м², 2 этажа, габариты 10.2×12.5 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/33-83?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10519_33-83_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 33-83, проект дома 208,95 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
"Проект дома №58-62A площадью 463,71 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/58-62A.jpg,Проекты частных домов,,"Проект дома №58-62A: площадь 463,71 м², 2 этажа, габариты 19.3×25 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-62A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10520_58-62A_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-62A, проект дома 463,71 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
"Проект дома №57-88K площадью 196,2 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/57-88K.jpg,Проекты частных домов,,"Проект дома №57-88K: площадь 196,2 м², 2 этажа, габариты 12.1×14.6 м, материал стен — кирпич. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-88K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10521_57-88K_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-88K, проект дома 196,2 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, кирпич, catalog-plans.ru"
Проект дома №47-10 площадью 140 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/fe937d328767d7f39f4856e3b3ba9c2fd0a2ffaf/pinterest/generated_batch_56_visual_plans_premium_static/47-10.jpg,Проекты частных домов,,"Проект дома №47-10: площадь 140 м², 2 этажа, габариты 8.7×11.1 м, материал стен — газобетон. На карточке показаны визуализация дома и планировки этажей. Сохраните идею и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/47-10?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_visual_plans_premium_static_batch_56&utm_content=pin_10522_47-10_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 47-10, проект дома 140 м², планировка дома, планы этажей, готовый проект дома, визуализация дома, газобетон, catalog-plans.ru"
