Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект дома №10-99 площадью 200 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/10-99.jpg,Планировки домов,,"Проект дома №10-99: площадь 200 м², 2 этажа, габариты 12×14.4 м, материал стен — дерево. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/10-99?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10712_10-99_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 10-99, проект дома 200 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, дерево, catalog-plans.ru"
"Проект дома №13-84 площадью 136,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/13-84.jpg,Планировки домов,,"Проект дома №13-84: площадь 136,8 м², 2 этажа, габариты 12.8×16.6 м, материал стен — дерево. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/13-84?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10713_13-84_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 13-84, проект дома 136,8 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, дерево, catalog-plans.ru"
"Проект дома №13-99 площадью 142,42 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/13-99.jpg,Планировки домов,,"Проект дома №13-99: площадь 142,42 м², 2 этажа, габариты 8×12 м, материал стен — дерево. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/13-99?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10714_13-99_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 13-99, проект дома 142,42 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, дерево, catalog-plans.ru"
Проект дома №15-07 площадью 171 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/15-07.jpg,Планировки домов,,"Проект дома №15-07: площадь 171 м², 2 этажа, габариты 9.6×11 м, материал стен — дерево. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/15-07?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10715_15-07_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 15-07, проект дома 171 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, дерево, catalog-plans.ru"
"Проект дома №15-32 площадью 227,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/15-32.jpg,Планировки домов,,"Проект дома №15-32: площадь 227,8 м², 2 этажа, габариты 14.19×15.58 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/15-32?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10716_15-32_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 15-32, проект дома 227,8 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №30-94 площадью 355,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/30-94.jpg,Планировки домов,,"Проект дома №30-94: площадь 355,8 м², 2 этажа, габариты 13.8×13.8 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/30-94?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10717_30-94_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 30-94, проект дома 355,8 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №31-81 площадью 294,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/31-81.jpg,Планировки домов,,"Проект дома №31-81: площадь 294,8 м², 2 этажа, габариты 13.14×13.8 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/31-81?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10718_31-81_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 31-81, проект дома 294,8 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №31-97 площадью 590,9 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/31-97.jpg,Планировки домов,,"Проект дома №31-97: площадь 590,9 м², 2 этажа, габариты 12.6×12.6 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/31-97?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10719_31-97_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 31-97, проект дома 590,9 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №32-24 площадью 346,1 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/32-24.jpg,Планировки домов,,"Проект дома №32-24: площадь 346,1 м², 2 этажа, габариты 14×19.04 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/32-24?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10720_32-24_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 32-24, проект дома 346,1 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №32-37 площадью 169,2 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_57_floor_plans_ocean_static/32-37.jpg,Планировки домов,,"Проект дома №32-37: площадь 169,2 м², 2 этажа, габариты 9.3×9.7 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/32-37?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_ocean_static_batch_57&utm_content=pin_10721_32-37_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 32-37, проект дома 169,2 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
