Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект дома №40-47 площадью 129 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/40-47.jpg,Проекты домов с планировкой,,"Проект дома №40-47: площадь 129 м², 2 этажа, габариты 10.2×10.78 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-47?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10912_40-47_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 40-47, проект дома 129 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №57-88L площадью 196,2 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/57-88L.jpg,Проекты домов с планировкой,,"Проект дома №57-88L: площадь 196,2 м², 2 этажа, габариты 12.1×14.6 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-88L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10913_57-88L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-88L, проект дома 196,2 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №63-40AB площадью 241,73 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/63-40AB.jpg,Проекты домов с планировкой,,"Проект дома №63-40AB: площадь 241,73 м², 2 этажа, габариты 12.96×16.89 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/63-40AB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10914_63-40AB_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 63-40AB, проект дома 241,73 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №58-87EK площадью 240,82 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/58-87EK.jpg,Проекты домов с планировкой,,"Проект дома №58-87EK: площадь 240,82 м², 2 этажа, габариты 15.18×19.05 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-87EK?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10915_58-87EK_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-87EK, проект дома 240,82 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №61-42 площадью 114,2 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/61-42.jpg,Проекты домов с планировкой,,"Проект дома №61-42: площадь 114,2 м², 2 этажа, габариты 8.5×9.7 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/61-42?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10916_61-42_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 61-42, проект дома 114,2 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №63-13K2L площадью 320,71 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/63-13K2L.jpg,Проекты домов с планировкой,,"Проект дома №63-13K2L: площадь 320,71 м², 3 этажа, габариты 12.8×13.4 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/63-13K2L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10917_63-13K2L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 63-13K2L, проект дома 320,71 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №91-48 площадью 87,31 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/91-48.jpg,Проекты домов с планировкой,,"Проект дома №91-48: площадь 87,31 м², 2 этажа, габариты 6.78×8.78 м, материал стен — керамзитобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/91-48?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10918_91-48_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 91-48, проект дома 87,31 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, керамзитобетон, catalog-plans.ru"
"Проект дома №57-62H площадью 260,07 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/57-62H.jpg,Проекты домов с планировкой,,"Проект дома №57-62H: площадь 260,07 м², 2 этажа, габариты 14.3×14.34 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-62H?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10919_57-62H_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-62H, проект дома 260,07 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №40-07A площадью 273,86 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/40-07A.jpg,Проекты домов с планировкой,,"Проект дома №40-07A: площадь 273,86 м², 2 этажа, габариты 11.34×11.34 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/40-07A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10920_40-07A_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 40-07A, проект дома 273,86 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №48-02 площадью 178,4 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/ecae1a10015457ee79f8a377cb28a7df81c945f7/pinterest/generated_batch_58_floor_plans_golden_static/48-02.jpg,Проекты домов с планировкой,,"Проект дома №48-02: площадь 178,4 м², 2 этажа, габариты 8.7×14.1 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/48-02?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_golden_static_batch_58&utm_content=pin_10921_48-02_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 48-02, проект дома 178,4 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
