Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №46-59KB площадью 240,09 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/46-59KB.jpg,Планировки частных домов,,"Проект дома №46-59KB: площадь 240,09 м², 2 этажа, габариты 9.74×21.57 м, материал стен — монолитный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-59KB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11112_46-59KB_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-59KB, проект дома 240,09 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, монолитный каркас, catalog-plans.ru"
"Проект дома №45-95G площадью 117,33 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/45-95G.jpg,Планировки частных домов,,"Проект дома №45-95G: площадь 117,33 м², 1 этаж, габариты 14.22×15.12 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-95G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11113_45-95G_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-95G, проект дома 117,33 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №58-87L площадью 198,51 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/58-87L.jpg,Планировки частных домов,,"Проект дома №58-87L: площадь 198,51 м², 2 этажа, габариты 12.08×15.38 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-87L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11114_58-87L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-87L, проект дома 198,51 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №51-06 площадью 305,7 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/51-06.jpg,Планировки частных домов,,"Проект дома №51-06: площадь 305,7 м², 3 этажа, габариты 9.8×16.2 м, материал стен — ячеистые бетонные блоки. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/51-06?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11115_51-06_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 51-06, проект дома 305,7 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, ячеистые бетонные блоки, catalog-plans.ru"
"Проект дома №64-46 площадью 174,92 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/64-46.jpg,Планировки частных домов,,"Проект дома №64-46: площадь 174,92 м², 2 этажа, габариты 12.76×13.52 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/64-46?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11116_64-46_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 64-46, проект дома 174,92 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №66-20 площадью 173,3 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/66-20.jpg,Планировки частных домов,,"Проект дома №66-20: площадь 173,3 м², 2 этажа, габариты 9.06×13.56 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/66-20?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11117_66-20_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 66-20, проект дома 173,3 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №58-66P площадью 239,05 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/58-66P.jpg,Планировки частных домов,,"Проект дома №58-66P: площадь 239,05 м², 2 этажа, габариты 12.26×21.44 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-66P?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11118_58-66P_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-66P, проект дома 239,05 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №57-33K площадью 243,29 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/57-33K.jpg,Планировки частных домов,,"Проект дома №57-33K: площадь 243,29 м², 2 этажа, габариты 13.9×14.6 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-33K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11119_57-33K_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-33K, проект дома 243,29 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №58-32L площадью 490,93 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/58-32L.jpg,Планировки частных домов,,"Проект дома №58-32L: площадь 490,93 м², 3 этажа, габариты 21.58×27.15 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/58-32L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11120_58-32L_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 58-32L, проект дома 490,93 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №50-04 площадью 291,1 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_59_floor_plans_desert_rose_static/50-04.jpg,Планировки частных домов,,"Проект дома №50-04: площадь 291,1 м², 2 этажа, габариты 9.8×12.6 м, материал стен — бетонные камни 390мм. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/50-04?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_desert_rose_static_batch_59&utm_content=pin_11121_50-04_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 50-04, проект дома 291,1 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, бетонные камни 390мм, catalog-plans.ru"
