Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №46-06A площадью 388,17 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/46-06A.jpg,Готовые проекты домов,,"Проект дома №46-06A: площадь 388,17 м², 2 этажа, габариты 21.67×22.48 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-06A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11312_46-06A_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-06A, проект дома 388,17 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №33-63 площадью 318,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/33-63.jpg,Готовые проекты домов,,"Проект дома №33-63: площадь 318,8 м², 2 этажа, габариты 15.9×18.3 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/33-63?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11313_33-63_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 33-63, проект дома 318,8 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №47-39 площадью 283,7 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/47-39.jpg,Готовые проекты домов,,"Проект дома №47-39: площадь 283,7 м², 2 этажа, габариты 13.04×17.04 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/47-39?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11314_47-39_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 47-39, проект дома 283,7 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №57-72 площадью 236,67 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/57-72.jpg,Готовые проекты домов,,"Проект дома №57-72: площадь 236,67 м², 2 этажа, габариты 9.86×13.1 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-72?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11315_57-72_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-72, проект дома 236,67 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №36-16 площадью 488,1 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/36-16.jpg,Готовые проекты домов,,"Проект дома №36-16: площадь 488,1 м², 3 этажа, габариты 12.87×19.47 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/36-16?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11316_36-16_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 36-16, проект дома 488,1 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №70-87A площадью 183,75 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/70-87A.jpg,Готовые проекты домов,,"Проект дома №70-87A: площадь 183,75 м², 2 этажа, габариты 11.08×12.92 м, материал стен — деревянный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/70-87A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11317_70-87A_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 70-87A, проект дома 183,75 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, деревянный каркас, catalog-plans.ru"
"Проект дома №65-77X площадью 236,47 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/65-77X.jpg,Готовые проекты домов,,"Проект дома №65-77X: площадь 236,47 м², 2 этажа, габариты 10.1×16.5 м, материал стен — монолитный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/65-77X?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11318_65-77X_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 65-77X, проект дома 236,47 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, монолитный каркас, catalog-plans.ru"
"Проект дома №59-42 площадью 384,5 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/59-42.jpg,Готовые проекты домов,,"Проект дома №59-42: площадь 384,5 м², 2 этажа, габариты 14.35×15.62 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/59-42?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11319_59-42_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 59-42, проект дома 384,5 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №64-57 площадью 106,2 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/64-57.jpg,Готовые проекты домов,,"Проект дома №64-57: площадь 106,2 м², 2 этажа, габариты 7×11 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/64-57?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11320_64-57_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 64-57, проект дома 106,2 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №71-04 площадью 224,17 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/0d914bce6920c8382fb3a50f11ae3de3cb6574e0/pinterest/generated_batch_60_floor_plans_tech_static/71-04.jpg,Готовые проекты домов,,"Проект дома №71-04: площадь 224,17 м², 2 этажа, габариты 13.18×13.39 м, материал стен — деревянный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/71-04?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_tech_static_batch_60&utm_content=pin_11321_71-04_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 71-04, проект дома 224,17 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, деревянный каркас, catalog-plans.ru"
