Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №57-22K площадью 240,24 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/57-22K.jpg,Планы домов и коттеджей,,"Проект дома №57-22K: площадь 240,24 м², 2 этажа, габариты 14.2×16.16 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-22K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11512_57-22K_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-22K, проект дома 240,24 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №53-98 площадью 119,1 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/53-98.jpg,Удобные планировки домов,,"Проект дома №53-98: площадь 119,1 м², 2 этажа, габариты 8.2×9 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/53-98?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11712_53-98_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 53-98, проект дома 119,1 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №68-15M площадью 395,88 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/68-15M.jpg,Современные проекты домов,,"Проект дома №68-15M: площадь 395,88 м², 2 этажа, габариты 17.7×18.4 м, материал стен — монолитный каркас. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/68-15M?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11912_68-15M_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 68-15M, проект дома 395,88 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, монолитный каркас, catalog-plans.ru"
"Проект дома №32-51 площадью 187,3 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/32-51.jpg,Планы домов и коттеджей,,"Проект дома №32-51: площадь 187,3 м², 2 этажа, габариты 10.96×16.3 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/32-51?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11513_32-51_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 32-51, проект дома 187,3 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
Проект дома №72-29 площадью 104 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/72-29.jpg,Удобные планировки домов,,"Проект дома №72-29: площадь 104 м², 2 этажа, габариты 7.88×10.08 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/72-29?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11713_72-29_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 72-29, проект дома 104 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №32-22 площадью 534,1 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/32-22.jpg,Современные проекты домов,,"Проект дома №32-22: площадь 534,1 м², 2 этажа, габариты 13.28×15.8 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/32-22?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11913_32-22_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 32-22, проект дома 534,1 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №62-38TL площадью 294,41 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/62-38TL.jpg,Планы домов и коттеджей,,"Проект дома №62-38TL: площадь 294,41 м², 2 этажа, габариты 18.5×21.16 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/62-38TL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11514_62-38TL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 62-38TL, проект дома 294,41 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №46-23B площадью 331,8 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/46-23B.jpg,Удобные планировки домов,,"Проект дома №46-23B: площадь 331,8 м², 2 этажа, габариты 16.86×21.74 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/46-23B?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11714_46-23B_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 46-23B, проект дома 331,8 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №57-20K площадью 185,13 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/57-20K.jpg,Современные проекты домов,,"Проект дома №57-20K: площадь 185,13 м², 2 этажа, габариты 11.28×13.05 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-20K?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11914_57-20K_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-20K, проект дома 185,13 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №57-61 площадью 216,47 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/57-61.jpg,Планы домов и коттеджей,,"Проект дома №57-61: площадь 216,47 м², 2 этажа, габариты 12.16×12.98 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-61?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11515_57-61_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-61, проект дома 216,47 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №57-68AB площадью 136,6 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/57-68AB.jpg,Удобные планировки домов,,"Проект дома №57-68AB: площадь 136,6 м², 2 этажа, габариты 12×12 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-68AB?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11715_57-68AB_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-68AB, проект дома 136,6 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
Проект дома №47-55 площадью 314 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/47-55.jpg,Современные проекты домов,,"Проект дома №47-55: площадь 314 м², 2 этажа, габариты 13×14.2 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/47-55?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11915_47-55_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 47-55, проект дома 314 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
"Проект дома №57-37DL площадью 56,63 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_61_floor_plans_sunset_static/57-37DL.jpg,Планы домов и коттеджей,,"Проект дома №57-37DL: площадь 56,63 м², 1 этаж, габариты 9×10 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/57-37DL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_sunset_static_batch_61&utm_content=pin_11516_57-37DL_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 57-37DL, проект дома 56,63 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
"Проект дома №45-94ABG площадью 310,67 м² с планировками",https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_62_floor_plans_forest_static/45-94ABG.jpg,Удобные планировки домов,,"Проект дома №45-94ABG: площадь 310,67 м², 2 этажа, габариты 18.05×19 м, материал стен — газобетон. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/45-94ABG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_forest_static_batch_62&utm_content=pin_11716_45-94ABG_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 45-94ABG, проект дома 310,67 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, газобетон, catalog-plans.ru"
Проект дома №33-18 площадью 92 м² с планировками,https://raw.githubusercontent.com/nemchenik/test/6ba2fe170429aaf58e1b7a4bc220779b82af6c60/pinterest/generated_batch_63_floor_plans_minimal_static/33-18.jpg,Современные проекты домов,,"Проект дома №33-18: площадь 92 м², 1 этаж, габариты 10.02×12.2 м, материал стен — кирпич. На карточке показаны оригинальные планировки этажей. Сохраните планы дома и откройте проект, чтобы узнать подробности и актуальную стоимость.",https://catalog-plans.ru/catalog/33-18?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_floor_plans_minimal_static_batch_63&utm_content=pin_11916_33-18_plans&utm_term=proekty-domov-s-planirovkami,,"проект дома 33-18, проект дома 92 м², планировка дома, планы этажей, готовый проект дома, оригинальная планировка, кирпич, catalog-plans.ru"
