Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проекты домов до 100 м²: проект №33-71, 48 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_64_raw_visual_plans_to_100/33-71.jpg,Проекты домов до 100 м²,,"Проекты домов до 100 м² — готовый проект №33-71 площадью 48 м². Дом: 1 этаж, габариты 6.8×9.2 м, материал стен — кирпич. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/33-71?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_to_100_batch_64&utm_content=pin_12112_33-71_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов до 100 м², проект дома 33-71, дом 48 м², планировка дома, планы этажей, готовый проект дома, кирпич, catalog-plans.ru"
"Проекты домов 100–150 м²: проект №63-42H, 110,56 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_65_raw_visual_plans_100_150/63-42H.jpg,Проекты домов 100–150 м²,,"Проекты домов 100–150 м² — готовый проект №63-42H площадью 110,56 м². Дом: 2 этажа, габариты 8.5×14 м, материал стен — газобетон. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/63-42H?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_100_150_batch_65&utm_content=pin_12312_63-42H_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов 100–150 м², проект дома 63-42H, дом 110,56 м², планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Проекты домов от 150 м²: проект №33-68, 360 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_66_raw_visual_plans_from_150/33-68.jpg,Проекты домов от 150 м²,,"Проекты домов от 150 м² — готовый проект №33-68 площадью 360 м². Дом: 2 этажа, габариты 9.9×15.3 м, материал стен — кирпич. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/33-68?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_from_150_batch_66&utm_content=pin_12512_33-68_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов от 150 м², проект дома 33-68, дом 360 м², планировка дома, планы этажей, готовый проект дома, кирпич, catalog-plans.ru"
"Проекты домов до 100 м²: проект №91-15B, 79,92 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_64_raw_visual_plans_to_100/91-15B.jpg,Проекты домов до 100 м²,,"Проекты домов до 100 м² — готовый проект №91-15B площадью 79,92 м². Дом: 1 этаж, габариты 8.65×11.8 м, материал стен — газобетон. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/91-15B?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_to_100_batch_64&utm_content=pin_12113_91-15B_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов до 100 м², проект дома 91-15B, дом 79,92 м², планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Проекты домов 100–150 м²: проект №58-55, 135,07 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_65_raw_visual_plans_100_150/58-55.jpg,Проекты домов 100–150 м²,,"Проекты домов 100–150 м² — готовый проект №58-55 площадью 135,07 м². Дом: 2 этажа, габариты 9.3×12.25 м, материал стен — газобетон. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/58-55?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_100_150_batch_65&utm_content=pin_12313_58-55_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов 100–150 м², проект дома 58-55, дом 135,07 м², планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Проекты домов от 150 м²: проект №68-88L, 237,3 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_66_raw_visual_plans_from_150/68-88L.jpg,Проекты домов от 150 м²,,"Проекты домов от 150 м² — готовый проект №68-88L площадью 237,3 м². Дом: 1 этаж, габариты 23.26×17.34 м, материал стен — газобетон. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/68-88L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_from_150_batch_66&utm_content=pin_12513_68-88L_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов от 150 м², проект дома 68-88L, дом 237,3 м², планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Проекты домов до 100 м²: проект №48-20G, 93,2 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_64_raw_visual_plans_to_100/48-20G.jpg,Проекты домов до 100 м²,,"Проекты домов до 100 м² — готовый проект №48-20G площадью 93,2 м². Дом: 2 этажа, габариты 8×8 м, материал стен — газобетон. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/48-20G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_to_100_batch_64&utm_content=pin_12114_48-20G_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов до 100 м², проект дома 48-20G, дом 93,2 м², планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Проекты домов 100–150 м²: проект №46-22AGL, 121,7 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_65_raw_visual_plans_100_150/46-22AGL.jpg,Проекты домов 100–150 м²,,"Проекты домов 100–150 м² — готовый проект №46-22AGL площадью 121,7 м². Дом: 1 этаж, габариты 11.52×14.02 м, материал стен — газобетон. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/46-22AGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_100_150_batch_65&utm_content=pin_12314_46-22AGL_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов 100–150 м², проект дома 46-22AGL, дом 121,7 м², планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Проекты домов от 150 м²: проект №12-42, 175,8 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_66_raw_visual_plans_from_150/12-42.jpg,Проекты домов от 150 м²,,"Проекты домов от 150 м² — готовый проект №12-42 площадью 175,8 м². Дом: 2 этажа, габариты 10.4×17.1 м, материал стен — дерево. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/12-42?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_from_150_batch_66&utm_content=pin_12514_12-42_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов от 150 м², проект дома 12-42, дом 175,8 м², планировка дома, планы этажей, готовый проект дома, дерево, catalog-plans.ru"
"Проекты домов до 100 м²: проект №35-40, 70,6 м²",https://raw.githubusercontent.com/nemchenik/test/9dd044fcd82fb3fec19f27b78d079fa36d093adb/pinterest/generated_batch_64_raw_visual_plans_to_100/35-40.jpg,Проекты домов до 100 м²,,"Проекты домов до 100 м² — готовый проект №35-40 площадью 70,6 м². Дом: 1 этаж, габариты 10.3×12.6 м, материал стен — кирпич. На изображении представлены оригинальная визуализация дома и планы этажей. Сохраните проект, сравните планировку комнат и перейдите в каталог, чтобы узнать состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/35-40?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_to_100_batch_64&utm_content=pin_12115_35-40_plans&utm_term=proekty-domov-s-planirovkami,,"проекты домов до 100 м², проект дома 35-40, дом 70,6 м², планировка дома, планы этажей, готовый проект дома, кирпич, catalog-plans.ru"
