Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Одноэтажные дома с планировкой: проект №64-75AG3, 134,55 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_67_raw_visual_plans_one_storey/64-75AG3.jpg,Одноэтажные дома с планировкой,,"Одноэтажные дома с планировкой — готовый проект №64-75AG3 площадью 134,55 м². Характеристики: 1 этаж, габариты 8.8×18.9 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/64-75AG3?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_one_storey_batch_67&utm_content=pin_12712_64-75AG3_plans&utm_term=proekty-domov-s-planirovkami,,"одноэтажные дома с планировкой, проект дома 64-75AG3, дом 134,55 м², 1 этаж, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Двухэтажные дома с планировкой: проект №65-98, 338,4 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_68_raw_visual_plans_two_storey/65-98.jpg,Двухэтажные дома с планировкой,,"Двухэтажные дома с планировкой — готовый проект №65-98 площадью 338,4 м². Характеристики: 2 этажа, габариты 16.59×21.19 м, материал стен — кирпич. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/65-98?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_two_storey_batch_68&utm_content=pin_12912_65-98_plans&utm_term=proekty-domov-s-planirovkami,,"двухэтажные дома с планировкой, проект дома 65-98, дом 338,4 м², 2 этажа, планировка дома, планы этажей, готовый проект дома, кирпич, catalog-plans.ru"
"Одноэтажные дома с планировкой: проект №62-79, 28,09 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_67_raw_visual_plans_one_storey/62-79.jpg,Одноэтажные дома с планировкой,,"Одноэтажные дома с планировкой — готовый проект №62-79 площадью 28,09 м². Характеристики: 1 этаж, габариты 4.8×8.5 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/62-79?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_one_storey_batch_67&utm_content=pin_12713_62-79_plans&utm_term=proekty-domov-s-planirovkami,,"одноэтажные дома с планировкой, проект дома 62-79, дом 28,09 м², 1 этаж, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Двухэтажные дома с планировкой: проект №45-64MAG, 433,05 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_68_raw_visual_plans_two_storey/45-64MAG.jpg,Двухэтажные дома с планировкой,,"Двухэтажные дома с планировкой — готовый проект №45-64MAG площадью 433,05 м². Характеристики: 2 этажа, габариты 13.96×27.21 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/45-64MAG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_two_storey_batch_68&utm_content=pin_12913_45-64MAG_plans&utm_term=proekty-domov-s-planirovkami,,"двухэтажные дома с планировкой, проект дома 45-64MAG, дом 433,05 м², 2 этажа, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Одноэтажные дома с планировкой: проект №68-77, 153,45 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_67_raw_visual_plans_one_storey/68-77.jpg,Одноэтажные дома с планировкой,,"Одноэтажные дома с планировкой — готовый проект №68-77 площадью 153,45 м². Характеристики: 1 этаж, габариты 12.45×16.65 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/68-77?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_one_storey_batch_67&utm_content=pin_12714_68-77_plans&utm_term=proekty-domov-s-planirovkami,,"одноэтажные дома с планировкой, проект дома 68-77, дом 153,45 м², 1 этаж, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Двухэтажные дома с планировкой: проект №64-97L, 167,31 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_68_raw_visual_plans_two_storey/64-97L.jpg,Двухэтажные дома с планировкой,,"Двухэтажные дома с планировкой — готовый проект №64-97L площадью 167,31 м². Характеристики: 2 этажа, габариты 10.1×11.6 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/64-97L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_two_storey_batch_68&utm_content=pin_12914_64-97L_plans&utm_term=proekty-domov-s-planirovkami,,"двухэтажные дома с планировкой, проект дома 64-97L, дом 167,31 м², 2 этажа, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Одноэтажные дома с планировкой: проект №46-09CGL, 300,18 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_67_raw_visual_plans_one_storey/46-09CGL.jpg,Одноэтажные дома с планировкой,,"Одноэтажные дома с планировкой — готовый проект №46-09CGL площадью 300,18 м². Характеристики: 1 этаж, габариты 14.61×18.52 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/46-09CGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_one_storey_batch_67&utm_content=pin_12715_46-09CGL_plans&utm_term=proekty-domov-s-planirovkami,,"одноэтажные дома с планировкой, проект дома 46-09CGL, дом 300,18 м², 1 этаж, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Двухэтажные дома с планировкой: проект №48-21G, 255,48 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_68_raw_visual_plans_two_storey/48-21G.jpg,Двухэтажные дома с планировкой,,"Двухэтажные дома с планировкой — готовый проект №48-21G площадью 255,48 м². Характеристики: 2 этажа, габариты 13.38×15.56 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/48-21G?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_two_storey_batch_68&utm_content=pin_12915_48-21G_plans&utm_term=proekty-domov-s-planirovkami,,"двухэтажные дома с планировкой, проект дома 48-21G, дом 255,48 м², 2 этажа, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Одноэтажные дома с планировкой: проект №68-74L, 203,12 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_67_raw_visual_plans_one_storey/68-74L.jpg,Одноэтажные дома с планировкой,,"Одноэтажные дома с планировкой — готовый проект №68-74L площадью 203,12 м². Характеристики: 1 этаж, габариты 18.74×21.39 м, материал стен — газобетон. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/68-74L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_one_storey_batch_67&utm_content=pin_12716_68-74L_plans&utm_term=proekty-domov-s-planirovkami,,"одноэтажные дома с планировкой, проект дома 68-74L, дом 203,12 м², 1 этаж, планировка дома, планы этажей, готовый проект дома, газобетон, catalog-plans.ru"
"Двухэтажные дома с планировкой: проект №36-64, 037 м²",https://raw.githubusercontent.com/nemchenik/test/890e420372c454ec1d75b0a087aa53c228efd1b2/pinterest/generated_batch_68_raw_visual_plans_two_storey/36-64.jpg,Двухэтажные дома с планировкой,,"Двухэтажные дома с планировкой — готовый проект №36-64 площадью 037 м². Характеристики: 2 этажа, габариты 27.23×36.78 м, материал стен — кирпича 1. На изображении показаны оригинальная визуализация дома и реальные планы этажей. Сохраните планировку для сравнения и откройте проект в каталоге, чтобы посмотреть состав документации и актуальную стоимость.",https://catalog-plans.ru/catalog/36-64?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_raw_visual_plans_two_storey_batch_68&utm_content=pin_12916_36-64_plans&utm_term=proekty-domov-s-planirovkami,,"двухэтажные дома с планировкой, проект дома 36-64, дом 037 м², 2 этажа, планировка дома, планы этажей, готовый проект дома, кирпича 1, catalog-plans.ru"
