Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Проект дома №13-59: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/13-59.jpg,Фасады домов,,"Проект дома №13-59. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 89,17 м²; 2 этажа; габариты 7×8 м; стены — дерево; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/13-59?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4912_13-59_plans&utm_term=fasady-domov,,"проект дома 13-59, проект №13-59, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 89,17 м², дом дерево, дом европейский, catalog-plans.ru"
"Проект дома №13-69: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/13-69.jpg,Двухэтажные дома,,"Проект дома №13-69. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 85,81 м²; 2 этажа; габариты 8×8 м; стены — дерево; стиль — американский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/13-69?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4913_13-69_compare&utm_term=dvuhetazhnye-doma,,"проект дома 13-69, проект №13-69, Двухэтажные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 85,81 м², дом дерево, дом американский, catalog-plans.ru"
Проект дома №40-04: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04.jpg,Кирпичные дома,,"Проект дома №40-04. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 126,88 м²; 2 этажа; габариты 9.62×10.12 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4914_40-04_site&utm_term=kirpichnye-doma,,"проект дома 40-04, проект №40-04, Кирпичные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 126,88 м², дом кирпич, дом европейский, catalog-plans.ru"
Проект дома №40-04A: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04A.jpg,Дома из газобетона,,"Проект дома №40-04A. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 133,2 м²; 2 этажа; габариты 9.35×9.9 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4915_40-04a_facades&utm_term=doma-iz-gazobetona,,"проект дома 40-04A, проект №40-04A, Дома из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 133,2 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04ABF: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04ABF.jpg,Проекты домов с визуализациями,,"Проект дома №40-04ABF. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 193,71 м²; 2 этажа; габариты 9.9×15.4 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04ABF?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4916_40-04abf_estimate&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 40-04ABF, проект №40-04ABF, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 193,71 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04AH: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04AH.jpg,Готовые проекты домов,,"Проект дома №40-04AH. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 134,46 м²; 2 этажа; габариты 9.4×9.9 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04AH?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4917_40-04ah_changes&utm_term=gotovye-proekty-domov,,"проект дома 40-04AH, проект №40-04AH, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 134,46 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04B: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04B.jpg,Фасады домов,,"Проект дома №40-04B. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 132,44 м²; 2 этажа; габариты 9.5×10 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04B?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4918_40-04b_plans&utm_term=fasady-domov,,"проект дома 40-04B, проект №40-04B, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 132,44 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект дома №40-04BBAK: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04BBAK.jpg,Кирпичные дома,,"Проект дома №40-04BBAK. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 174,45 м²; 2 этажа; габариты 10×12 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04BBAK?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4919_40-04bbak_compare&utm_term=kirpichnye-doma,,"проект дома 40-04BBAK, проект №40-04BBAK, Кирпичные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 174,45 м², дом кирпич, дом европейский, catalog-plans.ru"
Проект дома №40-04BEA: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04BEA.jpg,Фасады домов,,"Проект дома №40-04BEA. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 148,24 м²; 2 этажа; габариты 10.26×10.26 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04BEA?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4920_40-04bea_site&utm_term=fasady-domov,,"проект дома 40-04BEA, проект №40-04BEA, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 148,24 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №40-04BWW: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/40-04BWW.jpg,Проекты домов с визуализациями,,"Проект дома №40-04BWW. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 158,33 м²; 2 этажа; габариты 10.1×11.1 м; стены — газобетон; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/40-04BWW?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4921_40-04bww_facades&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 40-04BWW, проект №40-04BWW, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 158,33 м², дом газобетон, дом хай-тек, catalog-plans.ru"
